pdb_id,uniprot_id,asd90,allosite,passer_ensemble,allo,allositepro,allopred,passer_automl,passer_rank
11BG,P00669,False,False,False,True,True,True,True,True
1AO0,P00497,True,True,True,False,False,False,False,False
1B86,P68871,False,False,False,True,True,True,False,False
1BJ4,P34896,False,False,False,False,False,False,True,True
1CE8,P00968,True,True,True,True,True,True,True,True
1COZ,P27623,True,True,True,False,False,False,False,False
1CSM,P32178,False,False,False,False,False,False,True,True
1CZA,P19367,False,False,False,False,False,False,True,True
1DB1,P11473,True,True,True,False,False,False,False,False
1DD7,P29477,True,True,True,False,False,False,False,False
1DKU,P14193,False,False,False,True,True,True,False,False
1EFA,P03023,True,True,True,False,True,True,True,True
1EGY,Q00441,True,True,True,False,False,False,True,True
1EM6,P06737,False,False,False,True,True,True,False,False
1ESM,P0A6I3,True,True,True,False,False,False,False,False
1F2U,P58301,False,False,False,False,True,False,True,True
1FAP,P62942,True,True,True,False,False,False,False,False
1FCJ,P0A1E3,False,False,False,False,False,False,True,True
1FIY,P00864,False,False,False,True,True,True,False,False
1FS5,P0A759,False,False,False,False,False,False,True,True
1FTA,P09467,True,True,True,False,False,False,False,False
1FX2,Q99279,False,False,False,True,True,True,True,True
1G0R,Q9HU22,False,False,False,False,False,False,True,True
1G9V,P69905,False,False,False,False,False,False,True,True
1GFZ,P00489,False,False,False,False,False,False,True,True
1GPH,P00497,False,False,False,False,False,False,True,True
1GZ3,P23368,False,False,False,True,True,True,False,False
1H5S,P37744,False,False,False,True,True,True,False,False
1H78,P07071,False,False,False,False,True,True,False,False
1H9G,P0A8V6,False,False,False,False,True,True,False,False
1HAK,P08758,True,True,True,False,False,False,True,True
1HK8,P07071,False,False,False,False,False,False,True,True
1HKB,P19367,False,False,False,True,True,True,False,False
1I1Q,P00898,False,False,False,False,False,False,True,True
1I6K,P00953,False,False,False,False,False,False,True,True
1I7S,P00897,True,True,True,True,True,True,False,False
1IKW,P03366,False,False,False,False,False,False,True,True
1JLR,Q26998,False,False,False,False,True,True,True,True
1K7E,P00929,False,False,False,False,False,False,True,True
1KP8,P0A6F5,True,True,True,False,False,False,False,False
1KZ8,P00636,False,False,False,True,True,True,False,False
1LDN,P00344,True,True,True,False,False,False,False,False
1LTH,E8ME30,True,True,True,False,False,False,False,False
1M8P,Q12650,False,False,False,False,True,True,True,True
1MC0,Q922S4,False,False,False,False,False,False,True,True
1MSV,P17707,False,False,False,False,False,False,True,True
1NH8,P9WMN1,False,False,False,False,True,True,True,True
1NJJ,Q9TZZ6,False,False,False,True,True,True,False,False
1NSG,P62942,False,False,False,True,True,True,True,True
1O0S,P27443,False,False,False,False,False,False,True,True
1OF6,P32449,False,False,False,True,True,True,False,False
1OG0,P32449,False,False,False,False,False,False,True,True
1PCQ,P0A6F5,False,False,False,True,True,True,False,False
1PEQ,Q08698,True,True,True,False,False,False,True,True
1PFK,P0A796,True,True,True,True,True,True,True,True
1PJ3,P23368,True,True,True,False,False,False,False,False
1QP0,P0ACP7,False,False,False,True,True,True,False,False
1QTI,P04058,True,True,True,False,False,False,False,False
1QW7,P0A434,True,True,True,False,True,True,True,True
1R1V,O85142,False,False,False,False,False,False,True,True
1RD4,P20701,True,True,True,False,False,False,False,False
1RX2,P0ABQ4,True,True,True,False,False,False,False,False
1S9J,Q02750,True,True,True,False,False,False,False,False
1SG8,P00734,False,False,False,False,False,False,True,True
1SHJ,P55210,True,True,True,False,True,True,True,True
1T34,P18910,False,False,False,False,False,False,True,True
1T48,P18031,False,False,False,False,False,False,True,True
1T49,P18031,True,True,True,True,True,True,False,False
1T5A,P14618,False,False,False,False,False,False,True,True
1TBF,O76074,False,False,False,False,False,False,True,True
1TUG,P0A7F3,True,True,True,False,False,False,True,True
1UM8,O25926,False,False,False,False,False,False,True,True
1UXU,O57693,False,False,False,False,False,False,True,True
1UXV,O57693,False,False,False,True,True,True,False,False
1V4S,P35557,True,True,True,False,False,False,True,True
1VEA,P10943,False,False,False,False,False,False,True,True
1VM1,P0AD64,False,False,False,False,False,False,True,True
1VPW,P0ACP7,False,False,False,False,False,False,True,True
1VST,Q980Q4,False,False,False,False,False,False,True,True
1W0F,P08684,False,False,False,False,True,True,True,True
1W25,B8GZM2,True,True,True,False,False,False,False,False
1W96,Q00955,True,True,True,True,True,True,True,True
1X88,P52732,True,True,True,False,False,False,False,False
1XJE,O33839,True,True,True,False,False,False,False,False
1XJF,O33839,False,False,False,False,True,True,False,False
1XJG,O33839,False,False,False,False,False,False,True,True
1XLS,O35627,True,True,True,False,False,False,False,False
1XLS,P19793,True,True,True,False,False,False,False,False
1XLS,Q9WUI9,True,True,True,False,False,False,False,False
